Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2838907,59.47713037,59.62288675,59.85349048,60.19986508,60.29796125,60.31709236,60.39925468,60.52136798,60.69317697,60.84677014,61.01263223,61.19567601,61.50460815,61.79114894,61.67325461,61.50907897,61.33553933,60.89976162,59.62249019,59.87354946,59.75632025,59.87952919,59.77853523,59.84110135,59.80361729,59.94136325,59.84857993,59.83114167,58.57871499,58.9600185
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14.04399967,14.06400013,14.06999969,14.09700012,13.97200012,13.85000038,13.75300026,13.69099998,13.64400005,13.75800037,13.88399982,14.05700016,14.22500038,14.36100006,14.1960001,14.01900005,13.89999962,13.81599998,13.82600021,14.13399982,14.48400021,15.33899975,16.22400093,16.89299965,17.56699944,18.25099945,18.57699966,18.89800072,13.69999981,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.37695977,57.1835271,57.11628564,57.06886647,57.04763693,56.97500803,56.90144314,56.84588296,56.71259828,56.70215767,56.69996476,56.72894169,56.65253198,56.597366,56.4885073,56.40989764,56.33511377,56.09162985,55.82440275,55.56536049,55.45658081,54.11522077,52.95331949,52.63052865,52.45259003,52.5674124,52.31622661,52.25713544,52.2946868,51.20899452,51.44247773
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.58399963,72.59400177,72.58799744,72.7009964,72.79399872,72.82499695,72.85800171,72.91100311,72.97399902,73.05000305,73.09799957,73.17299652,73.20999908,73.28800201,73.35500336,73.3769989,73.41699982,73.44799805,73.46900177,67.37799835,69.09500122,68.7519989,68.37000275,68.01599884,68.01000214,68.00299835,68.04299927,68.06700134,68.12000275,66.92900085,66.92700195
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.84199905,40.2480011,41.73300171,43.27600098,44.7820015,44.70399857,44.11199951,41.35699844,40.19800186,40.67399979,39.94200134,40,39.92399979,39.75500107,39.39199829,39.06200027,38.43899918,39.17900085,38.64599991,39.31499863,45.25500107,43.21099854,37.82300186,37.03699875,38.94599915,42.55899811,43.40200043,45.19400024,46.83399963,43.28900146,45.13999939
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0808379,16.62553556,16.28599813,16.48046937,16.24079071,16.54279991,16.39195339,16.32246678,16.74179168,16.53337548,16.48643662,15.85456782,16.08234726,16.20856647,16.4656233,16.81119219,17.51354486,17.19617926,17.04676547,17.02785476,16.84873778,16.77191027,17.02350922,16.97081611,17.09241845,17.29358132,16.64802076,16.13996056,15.86899594,15.497726,15.32281972
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.71999931,29.25799942,29.93300056,30.22900009,30.52000046,31.02700043,31.36800003,31.72500038,32.15599823,32.67200089,32.97399902,33.37900162,33.87799835,34.41600037,34.80599976,35.7519989,36.52500153,37.42699814,38.48500061,39.87099838,41.3769989,42.83100128,44.30099869,45.76200104,47.22200012,48.64500046,48.77399826,49.63800049,53.39500046,57.44300079,49.20199966
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.56399918,44.23799896,42.58100128,42.67200089,38.04700089,40.18099976,41.98899841,44.28099823,43.04199982,42.17699814,40.95800018,38.34199905,40.02600098,42.05099869,42.41699982,43.55099869,43.76599884,43.37400055,43.97100067,43.29899979,43.86199951,43.80400085,43.59600067,43.44800186,43.40499878,43.19499969,43.1590004,43.97200012,44.66199875,40.74399948,45.32600021
