Country Name,Indicator Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,"Employment in services, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,"Employment in services, female (% of female employment) (modeled ILO estimate)",24.29998004,24.47060051,24.6780076,24.41355882,24.38552237,24.0571514,24.10431223,24.45686892,24.43768296,25.04296245,25.66368454,26.56752134,27.02447178,27.28815338,27.98367302,28.87549434,29.46726726,30.17970409,30.84948943,31.31743085,31.89348972,32.43405547,32.93060138,,
Afghanistan,"Employment in services, female (% of female employment) (modeled ILO estimate)",9.670000076,9.75,9.81000042,9.819999695,9.770000458,9.840000153,10.10000038,9.979999542,10.38000011,10.56999969,10.93000031,10.92000008,10.97000027,10.64999962,10.30000019,10.06999969,9.899999619,9.729999542,9.529999733,9.510000229,9.5,9.720000267,10.02000046,,
Africa Western and Central,"Employment in services, female (% of female employment) (modeled ILO estimate)",32.97936867,33.60263083,34.17860135,34.79371542,35.57212121,36.51142351,37.19654607,37.92831865,38.78807601,39.59183769,40.58605512,41.82317817,42.99115807,44.29405765,45.44743934,46.55710814,47.51188779,48.5786638,49.73676679,50.43553003,51.11595414,51.81554055,52.52987609,,
Angola,"Employment in services, female (% of female employment) (modeled ILO estimate)",52.74000168,53.74000168,53,53.29999924,54.08000183,54.22000122,54.18999863,53.93000031,52.22999954,50.65000153,49.15999985,47.50999832,45.97000122,43.36999893,40.88000107,40.47999954,40.49000168,40.77999878,41.18999863,41.47999954,41.84000015,42,42.29999924,,
Albania,"Employment in services, female (% of female employment) (modeled ILO estimate)",28.06999969,28.48999977,28.72999954,29.39999962,30.01000023,30.78000069,31.65999985,32.16999817,32.56999969,33.27000046,33.86000061,34.25999832,32.52000046,36.27000046,34.20999908,32.43999863,36.59000015,38.36999893,38.29000092,39.93000031,42.45000076,42.06000137,42.06000137,,
Andorra,"Employment in services, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,"Employment in services, female (% of female employment) (modeled ILO estimate)",45.27895709,46.89509687,47.973589,46.80922758,48.93532896,50.72778671,50.24997543,49.36478037,50.44342291,52.04162374,51.79578097,53.23717176,54.18575657,55.86998594,57.1740532,59.20734791,58.43566961,58.75178428,60.09783133,60.9524731,61.24968622,65.18614713,66.36750196,,
United Arab Emirates,"Employment in services, female (% of female employment) (modeled ILO estimate)",86.15000153,86.19000244,86.26999664,86.29000092,87.23000336,88.12999725,88.91000366,89.65000153,90.37999725,90.95999908,91.55000305,92.06999969,92.55000305,92.98000336,93.30000305,93.55000305,93.72000122,93.84999847,93.93000031,94.08999634,94.30999756,94.45999908,94.56999969,,
Argentina,"Employment in services, female (% of female employment) (modeled ILO estimate)",88.05000305,88.97000122,88.90000153,89.41000366,89.23999786,90.08999634,87.79000092,88.16999817,88.59999847,88.83000183,89.09999847,89.41000366,89.91999817,90.16999817,89.69000244,90.19000244,90.79000092,91.44999695,91.26999664,91.08999634,90.81999969,90.80999756,90.76999664,,
Armenia,"Employment in services, female (% of female employment) (modeled ILO estimate)",42.13999939,42.5,42.97999954,43.43999863,44.11000061,44.75999832,45.50999832,46.20999908,46.88999939,47.72000122,48.27000046,48.58000183,48.86999893,46.90999985,48,48.47999954,48.77999878,51.36999893,52.38999939,55.22999954,56.34999847,60.45000076,61.70999908,,
American Samoa,"Employment in services, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,"Employment in services, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"Employment in services, female (% of female employment) (modeled ILO estimate)",85.87000275,86.37000275,86.58999634,86.33999634,87.04000092,87.44000244,87.83999634,87.95999908,88.23999786,88.56999969,88.87000275,88.47000122,88.88999939,89.09999847,89.58000183,89.72000122,90.02999878,90.05999756,90.48999786,90.41999817,90.72000122,90.18000031,90.83000183,,
Austria,"Employment in services, female (% of female employment) (modeled ILO estimate)",77.66999817,78.54000092,79.04000092,79.45999908,79.91999817,80.95999908,81.15000153,81.84999847,81.81999969,81.30000305,81.41000366,82.51000214,83.37999725,83.54000092,82.90000153,83.09999847,82.80999756,82.73999786,83.65000153,84.08999634,84.91999817,84.86000061,85.05000305,,
Azerbaijan,"Employment in services, female (% of female employment) (modeled ILO estimate)",44.16999817,44.72999954,44.45000076,46.27999878,49.99000168,53.18999863,53.43000031,53.68999863,53.97000122,52.65000153,54.27999878,53.27000046,50.29000092,49.38000107,49.88999939,49.88000107,50.45000076,51.18000031,52.06000137,51.86999893,51.84000015,52.06999969,52.29000092,,
Burundi,"Employment in services, female (% of female employment) (modeled ILO estimate)",2.519999981,2.549999952,2.619999886,2.680000067,2.789999962,2.950000048,2.980000019,3.380000114,3.380000114,3.559999943,3.619999886,3.869999886,4.039999962,4.28000021,4.46999979,4.670000076,4.989999771,5.230000019,5.170000076,5.190000057,5.199999809,5.309999943,5.429999828,,
Belgium,"Employment in services, female (% of female employment) (modeled ILO estimate)",84.66999817,85.66999817,86.54000092,87.15000153,87.25,86.44000244,87.34999847,87.58000183,87.19999695,87.98999786,87.69000244,88.69000244,89.30000305,89.04000092,89.44000244,90.68000031,90.58999634,90.84999847,90.91000366,91.08000183,90.72000122,90.81999969,90.97000122,,
Benin,"Employment in services, female (% of female employment) (modeled ILO estimate)",36.38999939,36.93999863,37.52999878,38.24000168,39.00999832,39.81000137,40.41999817,41.31999969,41.84000015,42.63000107,43.58000183,44.45999908,45.09999847,45.68999863,46.61000061,47.52999878,48.54000092,49.54000092,50.13000107,51.16999817,52.09999847,53.09999847,54.08000183,,
