Country Name,Indicator Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
kyrgyz Republic,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,1.011919975,0.992659986,0.999490023,0.989000022,0.97706002,0.952910006,0.963389993,0.967980027,0.98676002,1.005609989,1.00443995,1.014600039,1.008710027,1.021559954,,,,,,,,,
Africa Eastern and Southern,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.866699994,0.865159988,0.877820015,0.875769973,0.876429975,0.874459982,0.877120018,0.88023001,0.887009978,0.893890023,0.894240022,0.90158999,0.909640014,0.914219975,0.908349991,0.915709972,0.926739991,0.932219982,0.939180017,0.94453001,0.943430007,0.940410018,0.941209972,0.944029987,
Afghanistan,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,0,,0.544260025,0.405820012,0.547689974,0.573230028,0.567200005,0.586019993,0.609610021,0.625810027,0.663450003,0.669250011,0.655330002,0.654020011,0.642329991,0.645669997,0.641690016,0.636020005,,,
Africa Western and Central,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.782570004,0.780179977,0.780910015,0.785109997,0.79351002,0.783909976,0.796829998,0.804750025,0.815079987,0.824850023,0.834029973,0.844940007,0.855729997,0.866590023,0.878170013,0.905340016,0.909659982,0.913039982,0.916610003,0.909860015,0.923009992,0.935490012,0.934909999,,
Angola,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,0.819149971,,,,,,,,,,0.833090007,0.823400021,0.777629972,0.630320013,,,,,,,,,,
Albania,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.969780028,,0.968180001,0.976209998,0.987320006,,,0.980199993,0.97803998,0.985040009,0.996869981,0.999790013,1.017809987,1.005689979,1.000290036,0.990100026,0.981589973,0.976679981,0.982420027,0.993550003,1.004320025,1.01730001,1.018630028,1.023990035,1.025709987
Andorra,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.846029997,0.857179999,0.868420005,0.87729001,0.886300027,0.895259976,0.903349996,0.906939983,0.913670003,0.917309999,0.920419991,0.923160017,0.924130023,0.926810026,0.92651999,0.933889985,0.93581003,0.940289974,0.944939971,0.94253999,0.944450021,0.948260009,0.949790001,0.953429997,
United Arab Emirates,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.032699943,1.04685998,,,,,,,,,,,,,,,,,,0.960950017,0.948279977,,0.994229972,1.010470033,
Argentina,"School enrollment, primary and secondary (gross), gender parity index (GPI)",1.02105999,1.008990049,1.022969961,1.015869975,1.01778996,1.018100023,1.022079945,1.02778995,1.032999992,1.040220022,1.046380043,1.050009966,1.047539949,1.035979986,1.040199995,1.034610033,1.03136003,1.031229973,1.028380036,1.020810008,1.019629955,1.021319985,1.020560026,1.024260044,
Armenia,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,1.071140051,,,,,,,1.006010056,0.995670021,0.989899993,0.995220006,1.007719994,,1.02907002,1.040339947,1.037989974,,,1.022830009,1.03489995,1.031909943,1.021299958
American Samoa,"School enrollment, primary and secondary (gross), gender parity index (GPI)",,,,,,,,,,,,,,,,,,,,,,,,,
