Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,6.956679856,6.893879991,6.823119286,6.759809823,6.663016178,6.554927389,6.430410386,6.222396032,6.061944441,5.989316253,5.9326657,5.887719684,5.932727168,6.384953227,6.183819874,6.123025647,6.073026684,6.133168738,6.249084918,6.394852468,6.480416641,6.461407052,6.673629126,7.192637106,7.401658853
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,7.570000172,7.566999912,7.559000015,7.546000004,7.53000021,7.668000221,7.602000237,7.532000065,7.585999966,7.535999775,7.593999863,7.515999794,7.578000069,7.565000057,7.43900013,7.499000072,7.403999805,7.340000153,8.342000008,9.355999947,10.35999966,10.28100014,10.24499989,10.45800018,
Africa Western and Central,AFW,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.392538145,4.418156189,4.578807723,4.628425476,4.540153082,4.401885842,4.352432273,4.286886414,4.241261597,4.118743072,4.047377563,4.049799287,4.08128816,4.083965776,4.052386204,4.056957421,3.729806511,3.961410225,4.249038814,4.125871456,4.166979857,4.205428831,4.270978045,4.997070156,4.854497989
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.021999836,5.013000011,5.004000187,4.977000237,4.947999954,4.880000114,4.903999805,4.84100008,4.795000076,4.777999878,4.731999874,4.710999966,4.72300005,7.934999943,7.006000042,7.968999863,9.001000404,10.01000023,9.991999626,9.972000122,9.895000458,9.859999657,9.795999527,10.80099964,10.64400005
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,17.70999908,20.24399948,21.16300011,19.38100052,18.30599976,17.62100029,16.69499969,16.02300072,15.63899994,15.29399967,15.64900017,12.54100037,12.19099998,12.76000023,13.26900005,14.81000042,17.66900063,19.85300064,17.24500084,16.14800072,14.45199966,12.625,11.58399963,13.30799961,12.74100018
Andorra,AND,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.65466457,10.67381165,10.81804568,11.03263585,10.8979214,10.81319213,10.75436028,9.460600053,9.348681816,8.583387672,8.315702111,7.964231664,7.048791906,7.012056716,8.124488999,8.232454295,8.291630015,8.371820219,8.369031974,8.084786849,8.248683388,8.115695335,7.686984234,9.076740833,8.693853506
United Arab Emirates,ARE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,1.914000034,2.082999945,2.160000086,2.184999943,2.336999893,2.384000063,2.371999979,2.414999962,2.517999887,2.344000101,2.296000004,2.176000118,2.132999897,1.93900001,1.761000037,1.648000002,1.511999965,1.38499999,1.25,1.131999969,1.411999941,1.409000039,1.5,3.904999971,2.315999985
Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,12.79500008,11.64700031,13.25899982,14.03199959,17.4109993,20.11400032,13.81700039,11.8920002,10.05900002,8.423000336,7.058000088,6.519999981,7.794000149,6.68200016,6.264999866,6.099999905,6.135000229,6.494999886,6.743999958,7.308000088,7.543000221,8.241000175,9.199000359,10.77600002,7.912000179
Armenia,ARM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.276000023,5.638000011,7.599999905,7.890999794,8.204999924,8.524000168,8.798999786,8.99600029,9.32199955,9.572999954,9.850000381,10.19099998,10.22700024,11.04399967,11.57999992,12.1239996,12.50800037,13,13.47399998,13.87300014,14.58100033,15.00300026,14.11200047,15.02200031,14.9630003
American Samoa,ASM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.579000473,7.943999767,7.034999847,6.454999924,6.973999977,6.53399992,5.889999866,5.274000168,4.876999855,4.666999817,4.045000076,3.953999996,5.691999912,5.070000172,4.893000126,5.132999897,5.705999851,6.001999855,6.035999775,5.650000095,5.519999981,5.281000137,5.211999893,6.553999901,5.214000225
Austria,AUT,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,5.058000088,5.409999847,4.65199995,4.764999866,3.913000107,5.109000206,5.132999897,5.784999847,5.43900013,4.93900013,4.489999771,3.891000032,5.485000134,4.981999874,4.546000004,4.93599987,5.377999783,5.830999851,6.085000038,6.426000118,5.912000179,5.022999763,4.611000061,5.477000237,6.236000061
Azerbaijan,AZE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.425000191,9.246999741,10.06400013,10.86499977,10.31799984,9.708999634,9.069999695,7.940000057,7.235000134,6.892000198,7.09100008,6.156000137,4.928999901,4.352000237,4.420000076,4.30700016,4.020999908,4.004000187,4.072999954,4.118000031,4.052000046,4.077000141,4.015999794,5.943999767,4.901000023
Burundi,BDI,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.49000001,3.460000038,3.61500001,3.684000015,3.711999893,3.749000072,3.921999931,3.901000023,4.053999901,4.065999985,3.138000011,2.161999941,2.144999981,2.10800004,2.092999935,2.065999985,2.038000107,2.019999981,1.855999947,1.598999977,1.358999968,1.121000051,0.887000024,1.087000012,1.138000011
